S Curran CSK
S Yadav MI
K Williamson SRH
S Gill KKR
D Chahar CSK
S Smith  DD
S Hetmyer DD
S Raina CSK
N Saini RCB
G Maxwell RCB
S Dube RCB
S Mavi KKR
D Malan PK
T Curran DD
J Neesham MI
