R Sharma MI
H Pandaya MI
D Padikkal RCB
N Pooran PK
S Hasan KKR
S Thakur  CSK
D Karthik KKR
R Ashwin DD
M Ali CSK
P Krishna KKR
K Jamieson RCB
R Uthappa CSK
K Gowtham CSK
A Tare MI
C Jordan PK
